,,ANC,Ted Stevens AnchorageInternational,Anchorage,AK,South Checkpoint,31
,,DEN,Denver International,Denver,CO,South,3
,,,,,,Blue-2,5
,,DTW,Detroit Metro Wayne County,Detroit,MI,,
,,,,,,Red 3,3
,,,,,,Terminal B/3,0
,,EWR,Newark International,Newark,NJ,,
,,,,,,Terminal C/1,2
,,IAD,Washington-Dulles International,"Washington, DC",VA,Passenger Screening Area:  PreCheck,1
,,,,,,Terminal 1,0
,,,,,,Terminal 4 Main,20
,,JFK,John F. Kennedy International,Jamaica,NY,,
,,,,,,Terminal 5,0
,,,,,,Terminal 8,0
,,LAS,McCarran International,Las Vegas,NV,Term 1 - D,0
,,LAX,Los Angeles International,Los Angeles,CA,Terminal 7 - Passenger,46
,,MCO,Orlando International,Orlando,FL,WEST FIS,0
,,MDW,Chicago Midway,Chicago,IL,Main Checkpoint,0
,00:00,,,,,Int'l Arrivals,0
,,MEM,Memphis International,Memphis,TN,,
,,,,,,MEM-C,0
,,,,,,North 3,5
,,MIA,Miami International,Miami,FL,,
,,,,,,South-H,3
,,MSP,Minneapolis-St. Paul International,St. Paul,MN,North CP,8
,,,,,,10,0
,,ORD,Chicago-OHare International,Chicago,IL,4B,3
,,,,,,6A,8
,,PDX,Portland International Airport,Portland,OR,PDX D/E,0
,,,,,,T-3 North,1
,,PHX,Phoenix Sky Harbor International,Phoenix,AZ,T-4 A,39
,,,,,,T-4 C,3
,,PIT,Pittsburgh International,Pittsburgh,PA,Main Checkpoint,0
,,SEA,Seattle-Tacoma International,Seattle,WA,SCP 3,2
,,,,,,Security Checkpoint F-1,46
5/10/2020,,SFO,San Francisco International,San Francisco,CA,Security Checkpoint G,1
,,DEN,Denver International,Denver,CO,South,0
,,DTW,Detroit Metro Wayne County,Detroit,MI,Red 3,2
,,EWR,Newark International,Newark,NJ,Terminal B/3,0
,,IAD,Washington-Dulles International,"Washington, DC",VA,Passenger Screening Area:  PreCheck,0
,,,,,,Terminal 1,0
,,,,,,Terminal 4 Main,0
,,JFK,John F. Kennedy International,Jamaica,NY,,
,,,,,,Terminal 5,0
,,,,,,Terminal 8,0
,,LAS,McCarran International,Las Vegas,NV,Term 1 - D,0
,,MDW,Chicago Midway,Chicago,IL,Main Checkpoint,0
,,,,,,North 3,1
,01:00,MIA,Miami International,Miami,FL,,
,,,,,,South-H,1
,,MSP,Minneapolis-St. Paul International,St. Paul,MN,North CP,3
,,,,,,10,0
,,ORD,Chicago-OHare International,Chicago,IL,4B,6
,,,,,,6A,6
,,PDX,Portland International Airport,Portland,OR,PDX D/E,0
,,,,,,T-3 North,0
,,PHX,Phoenix Sky Harbor International,Phoenix,AZ,T-4 A,15
,,,,,,T-4 C,5
,,PIT,Pittsburgh International,Pittsburgh,PA,Main Checkpoint,0
,,SEA,Seattle-Tacoma International,Seattle,WA,SCP 3,6
,,DEN,Denver International,Denver,CO,South,0
,,DTW,Detroit Metro Wayne County,Detroit,MI,Red 3,5
,,,,,,Terminal B/3,1
,,EWR,Newark International,Newark,NJ,,
,,,,,,Terminal C/1,1
,02:00,,,,,,
,,IAD,Washington-Dulles International,"Washington, DC",VA,Passenger Screening Area:  PreCheck,2
,,,,,,Terminal 1,0
,,JFK,John F. Kennedy International,Jamaica,NY,Terminal 4 Main,2
,,,,,,Terminal 5,0
,,JFK,John F. Kennedy International,Jamaica,NY,Terminal 8,0
,,LAS,McCarran International,Las Vegas,NV,Term 1 - D,0
,,MDW,Chicago Midway,Chicago,IL,Main Checkpoint,0
,,,,,,North 3,5
,,MIA,Miami International,Miami,FL,,
,,,,,,South-H,1
,,MSP,Minneapolis-St. Paul International,St. Paul,MN,North CP,9
,,,,,,10,0
,02:00,ORD,Chicago-OHare International,Chicago,IL,4B,19
,,,,,,6A,52
,,PDX,Portland International Airport,Portland,OR,PDX D/E,2
,,,,,,T-3 North,2
,,PHX,Phoenix Sky Harbor International,Phoenix,AZ,T-4 A,7
,,,,,,T-4 C,3
,,PIT,Pittsburgh International,Pittsburgh,PA,Main Checkpoint,2
,,SEA,Seattle-Tacoma International,Seattle,WA,SCP 3,6
,,ABE,Lehigh Valley International,Allentown,PA,ABE Main Terminal,0
,,ANC,Ted Stevens AnchorageInternational,Anchorage,AK,South Checkpoint,46
,,AUS,Austin Bergstrom International,Austin,TX,AUS02,5
,,BDL,Bradley International,Windsor Locks,CT,A1,2
,,,,,,BNA Main,17
,,BNA,Nashville International,Nashville,TN,Employee Checkpoint,0
,,,,,,North Checkpoint,0
,,BOS,Logan International,East Boston,MA,B1,21
,,BWI,Baltimore-Washington International,BWI Airport,MD,B Checkpoint,7
,,CVG,Cincinnati/Northern KentuckyInternational,Hebron,KY,T3-MCP,3
,,DEN,Denver International,Denver,CO,South,16
,,,,,,C21,23
,,DFW,Dallas/Fort Worth International,DFW Airport,TX,,
,,,,,,E18,8
,,,,,,Blue-2,22
,,DTW,Detroit Metro Wayne County,Detroit,MI,,
5/10/2020,,,,,,Red 3,8
,,EUG,Mahlon Sweet Field (Eugene),Eugene,OR,EUGZ,0
,,,,,,Terminal B/3,0
,,EWR,Newark International,Newark,NJ,,
,,,,,,Terminal C/1,51
,,FLL,Ft. Lauderdale-HollywoodInternational,Fort Lauderdale,FL,T3F Checkpoint,2
,,,,,,GEG-A/B,2
,,GEG,Spokane International,Spokane,WA,,
,,,,,,GEGC,0
,03:00,GPT,Gulfport Bilox Regional,Gulfport,MS,GPT-A,0
,,GSP,Greenville-Spartanburg,Greer,SC,Checkpoint,0
,,GUM,Antonio B. Won Pat International,Tamuning,GU,GUM01,7
,,IAD,Washington-Dulles International,"Washington, DC",VA,Passenger Screening Area:  PreCheck,14
,,IAH,Houston Intercontinental,Houston,TX,12/AS Terminal,3
,,ICT,Wichita Mid-Continent,Wichita,KS,Wichita Main,0
,,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,4
,,,,,,Terminal 1,0
,,,,,,Terminal 4 Main,10
,,JFK,John F. Kennedy International,Jamaica,NY,,
,,,,,,Terminal 5,14
,,,,,,Terminal 8,0
