5/17/2002,00:00,ANC,Ted Stevens AnchorageInternational,Anchorage,AK,South Checkpoint,68,
5/17/2003,00:00,DEN,Denver International,Denver,CO,South,2,
5/17/2003,00:00,,,,,Blue-2,1,
5/17/2004,00:00,DTW,Detroit Metro Wayne County,Detroit,MI,,,
5/17/2004,00:00,,,,,Red 3,2,
5/17/2005,00:00,,,,,Terminal B/3,1,
5/17/2005,00:00,EWR,Newark International,Newark,NJ,,,
5/17/2006,00:00,,,,,Terminal C/1,2,
5/17/2006,00:00,IAD,Washington-Dulles International,"Washington, DC",VA,Passenger Screening Area:  PreCheck,1,
5/17/2007,00:00,,,,,Terminal 1,0,
5/17/2007,00:00,,,,,Terminal 4 Main,2,
5/17/2008,00:00,JFK,John F. Kennedy International,Jamaica,NY,,,
5/17/2008,00:00,,,,,Terminal 5,0,
5/17/2009,00:00,,,,,Terminal 8,0,
5/17/2009,00:00,LAS,McCarran International,Las Vegas,NV,Term 1 - D,0,
5/17/2010,00:00,,,,,TBIT Main Checkpoint,0,
5/17/2010,00:00,LAX,Los Angeles International,Los Angeles,CA,,,
5/17/2011,00:00,,,,,Terminal 7 - Passenger,55,
5/17/2011,00:00,MCO,Orlando International,Orlando,FL,WEST FIS,0,
5/17/2012,00:00,MDW,Chicago Midway,Chicago,IL,Main Checkpoint,0,
5/17/2012,00:00,,,,,Int'l Arrivals,0,
5/17/2013,,MEM,Memphis International,Memphis,TN,,,
5/17/2013,,,,,,MEM-C,0,
5/17/2014,,,,,,North 3,1,
5/17/2014,,MIA,Miami International,Miami,FL,,,
5/17/2015,,,,,,South-H,0,
5/17/2015,,MSP,Minneapolis-St. Paul International,St. Paul,MN,North CP,6,
5/17/2016,,,,,,10,0,
5/17/2016,,ORD,Chicago-OHare International,Chicago,IL,4B,14,
5/17/2017,,,,,,6A,9,
5/17/2017,,PDX,Portland International Airport,Portland,OR,PDX D/E,0,
5/17/2018,,,,,,T-3 North,3,
5/17/2018,,PHX,Phoenix Sky Harbor International,Phoenix,AZ,T-4 A,41,
5/17/2019,,,,,,T-4 C,2,
